#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
74,Stebin Ben @stebinben,14.3M,4.48%,India,Entertainment and Music Modeling Singer Celebrities,4.3M
75,Mika Singh @mikasingh,14.2M,0.36%,India,Entertainment and Music Celebrity Music Singer,4.3M
76,ARMAAN MALIK 🧿 @armaanmalik,14.2M,1.04%,India,Entertainment and Music Music Singer,4.3M
77,Dulquer Salmaan @dqsalmaan,14.2M,6.19%,India,Entertainment and Music Auto and Vehicles Celebrity,4.3M
78,Esha Gupta @egupta,14.1M,3.23%,India,Entertainment and Music Celebrity Actors Soccer,4.2M
79,Bipasha Basu @bipashabasu,13.9M,0.47%,India,Fitness and Health Modeling,4.2M
80,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ) @sidhu_moosewala,13.9M,23.22%,India,Entertainment and Music Music Singer,4.2M
81,Genelia Deshmukh @geneliad,13.4M,7.13%,India,Acting and Drama Food family Actors,4M
82,Hasnain khan @hasnaink07,13.3M,0.1%,India,Finance Modeling,4M
83,Remo Dsouza @remodsouza,13.2M,1.2%,India,Entertainment and Music Dance,4M
84,Harbhajan Turbanator Singh @harbhajan3,13.2M,0.71%,India,Fitness Cricket Modeling,4M
85,Sushant Singh Rajput @sushantsinghrajput,13.1M,19.81%,India,Entertainment and Music Actors Modeling,3.9M
86,Surya Kumar Yadav (SKY) @surya_14kumar,12.9M,6.57%,India,Beauty,3.9M
87,NitaShilimkar @nita_shilimkar,12.7M,4.7%,India,Beauty and Self Care,3.8M
88,Mumbai Indians @mumbaiindians,12.5M,0.24%,India,Sports Personal Finance Cricket,3.8M
89,KL Rahul👑 @klrahul,12.3M,4%,India,Sports Cricket Athlete,3.7M
90,Abhishek Bachchan @bachchan,12.2M,0.35%,India,Entertainment and Music Actors Producers,3.6M
91,John Abraham @thejohnabraham,11.9M,0.64%,India,Entertainment and Music Acting and Drama Auto and Vehicles Actors,3.6M
92,Mahesh Babu @urstrulymahesh,11.8M,5.1%,India,Acting and Drama Celebrity Modeling Actors,3.5M
93,RVCJ Media @rvcjinsta,11.6M,0.2%,India,Entertainment and Music Product Showcase,3.5M
94,Adnaan Shaikh @adnaan_07dz,11.5M,0.53%,India,"Fitness and Health Modeling Film, Music & Books Celebrities",3.5M
95,Riva Arora @rivarora_,11.5M,0.77%,India,Celebrity,3.4M
96,Raghav Juyal @raghavjuyal,11.4M,3.34%,India,Entertainment and Music Home and Garden Music Modeling,3.4M
97,Siddharth Nigam @thesiddharthnigam,11.3M,0.87%,India,Entertainment and Music Sports Celebrity,3.4M
98,MC STΔN 💔 @m___c___stan,11.1M,13.19%,India,Entertainment and Music Fashion and Accessories,3.3M
99,Sahil Khan @sahilkhan,11M,1.15%,India,Fitness and Health Product Education Gym Coaching,3.3M
100,Ajay Devgn @ajaydevgn,10.8M,2.12%,India,Acting and Drama,3.3M
101,101 New Influencer 1 @newinfluencer1,8.0M,3.60%,India,Fashion and Lifestyle,1.6M
102,102 New Influencer 2 @newinfluencer2,7.7M,3.21%,India,Fitness and Wellness,3.8M
103,103 New Influencer 3 @newinfluencer3,4.0M,2.46%,India,Travel and Photography,1.5M
104,104 New Influencer 4 @newinfluencer4,2.0M,1.20%,India,Travel and Photography,2.2M
105,105 New Influencer 5 @newinfluencer5,9.2M,3.05%,India,Technology and Gadgets,3.7M
106,106 New Influencer 6 @newinfluencer6,3.5M,2.04%,India,Fitness and Wellness,2.0M
107,107 New Influencer 7 @newinfluencer7,6.0M,2.58%,India,Food and Cooking,4.3M
108,108 New Influencer 8 @newinfluencer8,6.4M,3.12%,India,Food and Cooking,3.9M
109,109 New Influencer 9 @newinfluencer9,3.6M,1.51%,India,Food and Cooking,2.4M
110,110 New Influencer 10 @newinfluencer10,3.4M,4.56%,India,Fitness and Wellness,4.4M
111,111 New Influencer 11 @newinfluencer11,6.2M,0.42%,India,Food and Cooking,2.2M
112,112 New Influencer 12 @newinfluencer12,2.5M,3.97%,India,Technology and Gadgets,4.8M
113,113 New Influencer 13 @newinfluencer13,7.9M,3.93%,India,Fitness and Wellness,3.2M
114,114 New Influencer 14 @newinfluencer14,8.4M,0.33%,India,Technology and Gadgets,0.7M
115,115 New Influencer 15 @newinfluencer15,6.7M,3.79%,India,Fitness and Wellness,0.7M
116,116 New Influencer 16 @newinfluencer16,5.9M,3.16%,India,Technology and Gadgets,3.5M
117,117 New Influencer 17 @newinfluencer17,1.3M,3.25%,India,Fitness and Wellness,3.6M
118,118 New Influencer 18 @newinfluencer18,1.0M,0.56%,India,Travel and Photography,4.9M
119,119 New Influencer 19 @newinfluencer19,1.5M,2.03%,India,Technology and Gadgets,2.0M
120,120 New Influencer 20 @newinfluencer20,5.5M,4.86%,India,Fashion and Lifestyle,2.5M
121,121 New Influencer 21 @newinfluencer21,4.1M,0.68%,India,Fashion and Lifestyle,2.1M
122,122 New Influencer 22 @newinfluencer22,2.8M,0.84%,India,Food and Cooking,3.2M
123,123 New Influencer 23 @newinfluencer23,8.8M,2.38%,India,Fitness and Wellness,0.9M
124,124 New Influencer 24 @newinfluencer24,2.9M,0.06%,India,Fashion and Lifestyle,3.1M
125,125 New Influencer 25 @newinfluencer25,9.2M,4.38%,India,Fitness and Wellness,2.9M
126,126 New Influencer 26 @newinfluencer26,9.1M,3.68%,India,Fashion and Lifestyle,3.5M
127,127 New Influencer 27 @newinfluencer27,7.0M,3.32%,India,Travel and Photography,4.0M
128,128 New Influencer 28 @newinfluencer28,6.9M,0.81%,India,Food and Cooking,0.9M
129,129 New Influencer 29 @newinfluencer29,7.0M,0.31%,India,Food and Cooking,4.2M
130,130 New Influencer 30 @newinfluencer30,7.2M,4.26%,India,Fitness and Wellness,4.1M
131,131 New Influencer 31 @newinfluencer31,3.1M,4.04%,India,Travel and Photography,1.5M
132,132 New Influencer 32 @newinfluencer32,4.4M,4.38%,India,Food and Cooking,2.0M
133,133 New Influencer 33 @newinfluencer33,1.0M,4.95%,India,Technology and Gadgets,4.1M
134,134 New Influencer 34 @newinfluencer34,6.0M,3.66%,India,Technology and Gadgets,1.5M
135,135 New Influencer 35 @newinfluencer35,2.8M,3.64%,India,Fitness and Wellness,4.8M
136,136 New Influencer 36 @newinfluencer36,8.8M,3.96%,India,Fitness and Wellness,3.5M
137,137 New Influencer 37 @newinfluencer37,7.8M,3.70%,India,Food and Cooking,2.1M
138,138 New Influencer 38 @newinfluencer38,5.8M,3.53%,India,Fitness and Wellness,2.1M
139,139 New Influencer 39 @newinfluencer39,8.2M,1.26%,India,Travel and Photography,3.4M
140,140 New Influencer 40 @newinfluencer40,3.6M,1.17%,India,Food and Cooking,4.9M
141,141 New Influencer 41 @newinfluencer41,2.9M,1.43%,India,Fashion and Lifestyle,2.6M
142,142 New Influencer 42 @newinfluencer42,6.0M,4.08%,India,Food and Cooking,0.6M
143,143 New Influencer 43 @newinfluencer43,5.1M,3.09%,India,Food and Cooking,1.8M
144,144 New Influencer 44 @newinfluencer44,3.9M,3.64%,India,Fashion and Lifestyle,1.1M
145,145 New Influencer 45 @newinfluencer45,8.3M,1.10%,India,Fitness and Wellness,4.2M
146,146 New Influencer 46 @newinfluencer46,4.0M,1.97%,India,Fashion and Lifestyle,2.7M
147,147 New Influencer 47 @newinfluencer47,9.7M,0.11%,India,Technology and Gadgets,2.5M
148,148 New Influencer 48 @newinfluencer48,4.8M,0.15%,India,Travel and Photography,3.8M
149,149 New Influencer 49 @newinfluencer49,4.8M,2.49%,India,Food and Cooking,3.4M
150,150 New Influencer 50 @newinfluencer50,3.8M,1.32%,India,Fashion and Lifestyle,0.7M
151,151 New Influencer 51 @newinfluencer51,2.5M,4.64%,India,Travel and Photography,3.5M
152,152 New Influencer 52 @newinfluencer52,2.0M,2.52%,India,Technology and Gadgets,3.2M
153,153 New Influencer 53 @newinfluencer53,2.2M,4.58%,India,Travel and Photography,3.7M
154,154 New Influencer 54 @newinfluencer54,4.3M,0.92%,India,Food and Cooking,1.0M
155,155 New Influencer 55 @newinfluencer55,6.8M,4.35%,India,Technology and Gadgets,2.9M
156,156 New Influencer 56 @newinfluencer56,9.7M,3.63%,India,Food and Cooking,4.5M
157,157 New Influencer 57 @newinfluencer57,7.4M,2.86%,India,Fitness and Wellness,5.0M
158,158 New Influencer 58 @newinfluencer58,7.2M,4.47%,India,Fashion and Lifestyle,3.2M
159,159 New Influencer 59 @newinfluencer59,2.4M,2.02%,India,Fashion and Lifestyle,3.7M
160,160 New Influencer 60 @newinfluencer60,6.3M,2.35%,India,Travel and Photography,0.8M
161,161 New Influencer 61 @newinfluencer61,5.9M,0.01%,India,Food and Cooking,1.3M
162,162 New Influencer 62 @newinfluencer62,8.6M,0.22%,India,Fashion and Lifestyle,1.6M
163,163 New Influencer 63 @newinfluencer63,4.4M,1.21%,India,Fitness and Wellness,4.4M
164,164 New Influencer 64 @newinfluencer64,9.9M,4.31%,India,Fitness and Wellness,3.5M
165,165 New Influencer 65 @newinfluencer65,2.7M,3.33%,India,Technology and Gadgets,3.5M
166,166 New Influencer 66 @newinfluencer66,4.0M,4.67%,India,Fitness and Wellness,1.8M
167,167 New Influencer 67 @newinfluencer67,7.8M,0.47%,India,Fitness and Wellness,4.1M
168,168 New Influencer 68 @newinfluencer68,7.6M,2.97%,India,Food and Cooking,4.4M
169,169 New Influencer 69 @newinfluencer69,3.1M,0.49%,India,Technology and Gadgets,3.4M
170,170 New Influencer 70 @newinfluencer70,6.4M,1.26%,India,Fashion and Lifestyle,1.6M
171,171 New Influencer 71 @newinfluencer71,9.0M,4.93%,India,Food and Cooking,3.0M
172,172 New Influencer 72 @newinfluencer72,9.1M,0.08%,India,Fitness and Wellness,3.2M
173,173 New Influencer 73 @newinfluencer73,7.9M,2.48%,India,Fitness and Wellness,2.0M
174,174 New Influencer 74 @newinfluencer74,6.4M,4.76%,India,Technology and Gadgets,1.5M
175,175 New Influencer 75 @newinfluencer75,8.6M,4.80%,India,Fashion and Lifestyle,1.8M
176,176 New Influencer 76 @newinfluencer76,2.3M,4.45%,India,Travel and Photography,2.8M
177,177 New Influencer 77 @newinfluencer77,2.5M,3.12%,India,Food and Cooking,3.1M
178,178 New Influencer 78 @newinfluencer78,9.3M,0.73%,India,Fashion and Lifestyle,2.4M
179,179 New Influencer 79 @newinfluencer79,8.7M,1.43%,India,Food and Cooking,1.7M
180,180 New Influencer 80 @newinfluencer80,4.8M,1.31%,India,Fitness and Wellness,4.1M
181,181 New Influencer 81 @newinfluencer81,4.4M,1.38%,India,Technology and Gadgets,0.5M
182,182 New Influencer 82 @newinfluencer82,3.0M,4.85%,India,Technology and Gadgets,4.0M
183,183 New Influencer 83 @newinfluencer83,2.8M,3.68%,India,Food and Cooking,4.8M
184,184 New Influencer 84 @newinfluencer84,3.7M,0.12%,India,Fitness and Wellness,1.4M
185,185 New Influencer 85 @newinfluencer85,5.0M,3.89%,India,Fashion and Lifestyle,3.7M
186,186 New Influencer 86 @newinfluencer86,6.2M,1.27%,India,Fashion and Lifestyle,4.3M
187,187 New Influencer 87 @newinfluencer87,3.0M,4.01%,India,Food and Cooking,2.0M
188,188 New Influencer 88 @newinfluencer88,8.7M,3.20%,India,Fitness and Wellness,4.2M
189,189 New Influencer 89 @newinfluencer89,6.2M,1.85%,India,Food and Cooking,4.4M
190,190 New Influencer 90 @newinfluencer90,2.1M,0.70%,India,Food and Cooking,1.3M
191,191 New Influencer 91 @newinfluencer91,1.4M,4.58%,India,Fitness and Wellness,3.1M
192,192 New Influencer 92 @newinfluencer92,4.7M,3.48%,India,Food and Cooking,1.4M
193,193 New Influencer 93 @newinfluencer93,1.9M,2.85%,India,Technology and Gadgets,0.7M
194,194 New Influencer 94 @newinfluencer94,6.7M,1.31%,India,Technology and Gadgets,2.3M
195,195 New Influencer 95 @newinfluencer95,5.0M,2.60%,India,Technology and Gadgets,1.3M
196,196 New Influencer 96 @newinfluencer96,6.2M,3.93%,India,Technology and Gadgets,2.7M
197,197 New Influencer 97 @newinfluencer97,8.4M,4.27%,India,Food and Cooking,4.6M
198,198 New Influencer 98 @newinfluencer98,3.9M,3.30%,India,Technology and Gadgets,3.5M
199,199 New Influencer 99 @newinfluencer99,1.6M,3.85%,India,Technology and Gadgets,0.6M
200,200 New Influencer 100 @newinfluencer100,1.8M,3.70%,India,Technology and Gadgets,3.8M
201,201 New Influencer 101 @newinfluencer101,7.1M,1.11%,India,Technology and Gadgets,2.3M
202,202 New Influencer 102 @newinfluencer102,2.9M,3.09%,India,Fitness and Wellness,0.5M
203,203 New Influencer 103 @newinfluencer103,5.2M,2.95%,India,Technology and Gadgets,1.2M
204,204 New Influencer 104 @newinfluencer104,7.6M,4.82%,India,Fitness and Wellness,2.7M
205,205 New Influencer 105 @newinfluencer105,4.6M,4.39%,India,Food and Cooking,4.9M
206,206 New Influencer 106 @newinfluencer106,5.0M,3.37%,India,Technology and Gadgets,1.2M
207,207 New Influencer 107 @newinfluencer107,7.3M,0.96%,India,Travel and Photography,4.1M
208,208 New Influencer 108 @newinfluencer108,9.0M,0.92%,India,Fitness and Wellness,4.2M
209,209 New Influencer 109 @newinfluencer109,6.4M,4.21%,India,Travel and Photography,3.5M
210,210 New Influencer 110 @newinfluencer110,9.4M,2.24%,India,Travel and Photography,1.2M
211,211 New Influencer 111 @newinfluencer111,2.0M,0.24%,India,Food and Cooking,3.7M
212,212 New Influencer 112 @newinfluencer112,7.8M,1.25%,India,Food and Cooking,1.1M
213,213 New Influencer 113 @newinfluencer113,2.7M,2.02%,India,Fitness and Wellness,1.6M
214,214 New Influencer 114 @newinfluencer114,4.5M,4.44%,India,Fashion and Lifestyle,3.0M
215,215 New Influencer 115 @newinfluencer115,4.7M,1.23%,India,Fashion and Lifestyle,3.7M
216,216 New Influencer 116 @newinfluencer116,2.4M,3.88%,India,Travel and Photography,2.4M
217,217 New Influencer 117 @newinfluencer117,6.6M,1.85%,India,Fitness and Wellness,2.5M
218,218 New Influencer 118 @newinfluencer118,9.1M,4.26%,India,Travel and Photography,4.9M
219,219 New Influencer 119 @newinfluencer119,8.5M,1.03%,India,Travel and Photography,3.3M
220,220 New Influencer 120 @newinfluencer120,2.1M,1.03%,India,Food and Cooking,1.0M
221,221 New Influencer 121 @newinfluencer121,5.6M,2.09%,India,Travel and Photography,4.1M
222,222 New Influencer 122 @newinfluencer122,7.1M,1.86%,India,Fitness and Wellness,1.6M
223,223 New Influencer 123 @newinfluencer123,4.0M,1.74%,India,Fashion and Lifestyle,1.1M
224,224 New Influencer 124 @newinfluencer124,2.8M,0.69%,India,Travel and Photography,1.5M
225,225 New Influencer 125 @newinfluencer125,6.2M,3.10%,India,Technology and Gadgets,3.0M
226,226 New Influencer 126 @newinfluencer126,2.4M,1.65%,India,Fashion and Lifestyle,4.8M
227,227 New Influencer 127 @newinfluencer127,8.0M,0.67%,India,Technology and Gadgets,2.2M
228,228 New Influencer 128 @newinfluencer128,5.9M,0.31%,India,Technology and Gadgets,3.9M
229,229 New Influencer 129 @newinfluencer129,1.4M,0.25%,India,Fitness and Wellness,1.2M
230,230 New Influencer 130 @newinfluencer130,8.1M,1.65%,India,Fashion and Lifestyle,4.0M
231,231 New Influencer 131 @newinfluencer131,5.6M,4.98%,India,Technology and Gadgets,1.5M
232,232 New Influencer 132 @newinfluencer132,7.0M,3.17%,India,Fitness and Wellness,2.7M
233,233 New Influencer 133 @newinfluencer133,2.4M,4.87%,India,Travel and Photography,0.6M
234,234 New Influencer 134 @newinfluencer134,4.0M,4.47%,India,Technology and Gadgets,1.2M
235,235 New Influencer 135 @newinfluencer135,4.0M,3.04%,India,Food and Cooking,3.3M
236,236 New Influencer 136 @newinfluencer136,4.4M,2.55%,India,Technology and Gadgets,3.2M
237,237 New Influencer 137 @newinfluencer137,1.7M,2.45%,India,Food and Cooking,3.0M
238,238 New Influencer 138 @newinfluencer138,8.1M,0.02%,India,Fitness and Wellness,1.6M
239,239 New Influencer 139 @newinfluencer139,3.5M,0.13%,India,Travel and Photography,1.6M
240,240 New Influencer 140 @newinfluencer140,7.2M,0.98%,India,Technology and Gadgets,0.9M
241,241 New Influencer 141 @newinfluencer141,5.6M,0.92%,India,Fitness and Wellness,3.2M
242,242 New Influencer 142 @newinfluencer142,9.2M,2.46%,India,Fashion and Lifestyle,4.1M
243,243 New Influencer 143 @newinfluencer143,7.6M,2.72%,India,Technology and Gadgets,2.9M
244,244 New Influencer 144 @newinfluencer144,5.9M,2.79%,India,Food and Cooking,4.9M
245,245 New Influencer 145 @newinfluencer145,4.5M,2.88%,India,Travel and Photography,3.7M
246,246 New Influencer 146 @newinfluencer146,3.9M,3.64%,India,Food and Cooking,3.2M
247,247 New Influencer 147 @newinfluencer147,6.6M,4.44%,India,Food and Cooking,1.4M
248,248 New Influencer 148 @newinfluencer148,6.3M,1.28%,India,Fashion and Lifestyle,3.3M
249,249 New Influencer 149 @newinfluencer149,8.7M,3.30%,India,Travel and Photography,1.6M
250,250 New Influencer 150 @newinfluencer150,8.4M,0.22%,India,Food and Cooking,1.0M
251,251 New Influencer 151 @newinfluencer151,4.3M,3.03%,India,Travel and Photography,0.9M
252,252 New Influencer 152 @newinfluencer152,3.2M,3.61%,India,Technology and Gadgets,3.6M
253,253 New Influencer 153 @newinfluencer153,8.4M,4.32%,India,Technology and Gadgets,1.0M
254,254 New Influencer 154 @newinfluencer154,3.7M,4.62%,India,Travel and Photography,4.0M
255,255 New Influencer 155 @newinfluencer155,9.0M,4.95%,India,Fashion and Lifestyle,4.3M
256,256 New Influencer 156 @newinfluencer156,5.4M,1.67%,India,Fashion and Lifestyle,1.2M
257,257 New Influencer 157 @newinfluencer157,5.2M,1.40%,India,Technology and Gadgets,1.0M
258,258 New Influencer 158 @newinfluencer158,2.8M,3.36%,India,Fitness and Wellness,0.7M
259,259 New Influencer 159 @newinfluencer159,8.7M,2.79%,India,Fashion and Lifestyle,2.6M
260,260 New Influencer 160 @newinfluencer160,7.2M,1.00%,India,Food and Cooking,2.7M
261,261 New Influencer 161 @newinfluencer161,7.4M,4.85%,India,Technology and Gadgets,4.1M
262,262 New Influencer 162 @newinfluencer162,5.5M,0.51%,India,Technology and Gadgets,2.3M
263,263 New Influencer 163 @newinfluencer163,3.7M,3.33%,India,Travel and Photography,1.0M
264,264 New Influencer 164 @newinfluencer164,6.2M,0.57%,India,Travel and Photography,0.6M
265,265 New Influencer 165 @newinfluencer165,5.2M,1.50%,India,Fashion and Lifestyle,2.5M
266,266 New Influencer 166 @newinfluencer166,5.4M,0.40%,India,Fitness and Wellness,4.8M
267,267 New Influencer 167 @newinfluencer167,1.6M,0.48%,India,Technology and Gadgets,1.6M
268,268 New Influencer 168 @newinfluencer168,6.5M,1.25%,India,Food and Cooking,3.4M
269,269 New Influencer 169 @newinfluencer169,4.5M,0.16%,India,Fitness and Wellness,2.3M
270,270 New Influencer 170 @newinfluencer170,5.7M,3.57%,India,Travel and Photography,3.5M
271,271 New Influencer 171 @newinfluencer171,7.5M,2.14%,India,Fashion and Lifestyle,4.6M
272,272 New Influencer 172 @newinfluencer172,1.2M,4.63%,India,Fashion and Lifestyle,2.8M
273,273 New Influencer 173 @newinfluencer173,4.2M,0.50%,India,Food and Cooking,4.7M
274,274 New Influencer 174 @newinfluencer174,7.1M,4.04%,India,Technology and Gadgets,2.3M
275,275 New Influencer 175 @newinfluencer175,3.7M,0.33%,India,Food and Cooking,0.7M
276,276 New Influencer 176 @newinfluencer176,1.2M,0.32%,India,Food and Cooking,0.9M
277,277 New Influencer 177 @newinfluencer177,6.5M,3.19%,India,Technology and Gadgets,4.7M
278,278 New Influencer 178 @newinfluencer178,9.7M,0.90%,India,Fashion and Lifestyle,0.5M
279,279 New Influencer 179 @newinfluencer179,6.6M,0.87%,India,Food and Cooking,2.0M
